College ID	Branch Code	Branch Name	Approved Intake	Year of starting course	NBA Accredited	Accredition Valid upto
1205	EE	Electrical and Electronics Engineering	60	2001	No	--
1205	EC	Electronics and Communication	120	2001	No	--
1205	IT	Information Technology	90	2001	No	--
1205	ME	Mechanical Engineering	30	2005	No	--
1206	CE	Civil Engineering	60	2009	No	--
1206	CS	Computer science and engineering	120	2001	No	--
1206	EE	Electrical and Electronics Engineering	60	2012	No	--
1206	EC	Electronics and Communication	120	2001	No	--
1206	IT	Information Technology	60	2001	No	--
1206	ME	Mechanical Engineering	120	2001	No	--
1207	CS	Computer science and engineering	120	2001	No	--
1207	EC	Electronics and Communication	120	2001	No	--
1207	IT	Information Technology	120	2006	No	--
1207	ME	Mechanical Engineering	60	2001	No	--
1208	CS	Computer science and engineering	90	2001	No	--
1208	EE	Electrical and Electronics Engineering	60	2001	No	--
1208	EC	Electronics and Communication	120	2001	No	--
1208	IT	Information Technology	90	2001	No	--
1208	ME	Mechanical Engineering	60	2001	No	--
1209	CS	Computer science and engineering	120	1999	No	--
1209	EE	Electrical and Electronics Engineering	60	1997	No	--
1209	EC	Electronics and Communication	120	2001	No	--
1209	IT	Information Technology	90	2001	No	--
1209	ME	Mechanical Engineering	120	1997	No	--
1210	CE	Civil Engineering	60	2009	No	--
1210	CS	Computer science and engineering	120	2001	YES	dec2014
1210	EE	Electrical and Electronics Engineering	60	2012	#	jan2011
1210	EC	Electronics and Communication	120	2001	YES	dec2014
1210	EI	electroncis and Instrumentation Engg	120	2007	No	--
1210	IT	Information Technology	60	2001	YES	dec2014
1210	ME	Mechanical Engineering	120	2001	No	jan2013
1211	AE	Aeronautical Engineering	60	2004	No	--
1211	AU	Automobile Engineering	60	2005	No	--
1211	BM	Bio Medical Engineering	60	2005	No	--
1211	BT	Bio-Technology	120	2002	No	apr2012
1211	CE	Civil Engineering	60	2009	No	--
1211	CS	Computer science and engineering	240	1997	No	JUL2011
1211	EE	Electrical and Electronics Engineering	180	1998	YES	SEP2014
