College ID	Branch Code	Branch Name	Approved Intake	Year of starting course	NBA Accredited	Accredition Valid upto
1242	EE	Electrical and Electronics Engineering	60	2009	No	--
1242	EC	Electronics and Communication	60	2009	No	--
1242	ME	Mechanical Engineering	120	2009	No	--
1243	CE	Civil Engineering	120	2010	No	--
1243	CS	Computer science and engineering	60	2009	No	--
1243	EE	Electrical and Electronics Engineering	60	2009	No	--
1243	EC	Electronics and Communication	60	2009	No	--
1243	IT	Information Technology	60	2009	No	--
1243	ME	Mechanical Engineering	120	2011	No	--
1245	CE	Civil Engineering	60	2009	No	--
1245	CS	Computer science and engineering	60	2011	No	--
1245	EE	Electrical and Electronics Engineering	60	2009	No	--
1245	EC	Electronics and Communication	60	2009	No	--
1245	ME	Mechanical Engineering	60	2009	No	--
1301	CE	Civil Engineering	60	2007	No	--
1301	CS	Computer science and engineering	60	2001	No	--
1301	EE	Electrical and Electronics Engineering	60	2005	No	--
1301	EC	Electronics and Communication	120	2001	No	--
1301	IT	Information Technology	60	201	No	--
1301	MX	Material Science and Engineering	60	2012	No	--
1301	ME	Mechanical Engineering	120	2005	No	--
1303	CE	Civil Engineering	60	2013	No	-
1303	CS	Computer science and engineering	120	2000	YES	ju 2014
1303	EE	Electrical and Electronics Engineering	120	2002	YES	ju 2014
1303	EC	Electronics and Communication	180	2000	YES	ju 2014
1303	EI	Electronics and Instrumentation engineering	120	2005	No	-
1303	IT	Information Technology	120	2000	No	-
1303	ME	Mechanical Engineering	120	2003	#	may 2012
1304	CE	Civil Engineering	120	2007	No	jan 2015
1304	CS	Computer science and engineering	120	1996	YES	jan 2015
1304	EE	Electrical and Electronics Engineering	120	1996	YES	jan 2015
1304	EC	Electronics and Communication	180	1996	YES	jan 2015
1304	EI	Electronics and Instrumentation engineering	120	1996	YES	jan 2015
1304	IT	Information Technology	120	1999	YES	jan 2015
1304	ME	Mechanical Engineering	180	2003	#	may 2012
1306	AE	Automobile Engineering	60	2008	No	-
1306	BT	Bio-Technology	60	2002	No	-
1306	CE	Civil Engineering	60	2009	No	-
1306	CS	Computer science and engineering	120	2001	No	-
1306	EE	Electrical and Electronics Engineering	120	2001	No	-
1306	EC	Electronics and Communication	120	2001	No	-
1306	EI	Electronics and Instrumentation engineering	120	2008	No	-
1306	IT	Information Technology	120	2001	No	-
1306	ME	Mechanical Engineering	120	2002	No	-
1307	BM	Bio-Medical Engg	60	2005	No	-
1307	CE	Civil Engineering	180	2001	No	may 2012
1307	CS	Computer science and engineering	120	1995	No	may 2012
1307	EE	Electrical and Electronics Engineering	120	1995	No	may 2012
1307	EC	Electronics and Communication	120	1995	No	may 2012
1307	EI	Electronics and Instrumentation engineering	60	2013	No	-
1307	IT	Information Technology	120	1999	No	may 2012
1308	AR	Architecture	120	1999	No	-
1309	CE	Civil Engineering	60	2002	No	-
1309	CS	Computer science and engineering	60	2001	No	-
1309	EE	Electrical and Electronics Engineering	60	2003	No	-
1309	EC	Electronics and Communication	120	2001	No	-
1309	IT	Information Technology	60	2001	No	-
1309	ME	Mechanical Engineering	60	2010	No	-
1310	CE	Civil Engineering	120	2005	YES	Sep 2015
1310	CS	Computer science and engineering	120	1994	YES	Sep 2015
1310	EE	Electrical and Electronics Engineering	60	1999	YES	Sep 2015
1310	EC	Electronics and Communication	180	1994	YES	Sep 2015
1310	IT	Information Technology	60	1999	YES	Sep 2015
1310	ME	Mechanical Engineering	120	1994	YES	Sep 2015
1311	AE	Aeronautical Engineering	120	2007	No	-
1311	CE	Civil Engineering	120	2011	No	-
1311	CS	Computer science and engineering	120	1998	YES	mar 2015
1311	EE	Electrical and Electronics Engineering	120	1998	YES	mar 2015
1311	EC	Electronics and Communication	120	1998	YES	mar 2015
1311	EI	Electronics and Instrumentation engineering	60	2012	No	-
1311	IT	Information Technology	60	2001	No	-
1311	ME	Mechanical Engineering	120	1998	YES	mar 2015
1313	BM	Bio-Medical Engg	60	2005	No	-
1313	CE	Civil Engineering	60	2011	No	-
1313	CS	Computer science and engineering	60	2001	No	-
1313	EE	Electrical and Electronics Engineering	60	2002	No	-
1313	EC	Electronics and Communication	60	2001	No	-
1313	ME	Mechanical Engineering	120	2009	No	-
1315	BM	Bio-Medical Engg	60	2005	No	-
1315	CH	Chemical Engineering	60	2004	No	-
1315	CE	Civil Engineering	60	2011	No	-
1315	CS	Computer science and engineering	120	1996	No	-
1315	EE	Electrical and Electronics Engineering	120	1996	No	-
1315	EC	Electronics and Communication	120	1996	No	-
1315	IT	Information Technology	120	1999	No	-
1315	ME	Mechanical Engineering	120	2007	No	-
1316	CE	Civil Engineering	60	2010	No	-
1316	CS	Computer science and engineering	120	2001	No	feb2012
1316	EE	Electrical and Electronics Engineering	60	2001	No	feb2012
1316	EC	Electronics and Communication	180	2001	No	feb2012
1316	IT	Information Technology	60	2001	No	-
1316	ME	Mechanical Engineering	120	2010	No	-
1317	BT	Bio Technology	60	2002	YES	jun 2014
1317	CH	Chemical Engineering	60	1994	YES	jun 2014
1317	CS	Computer science and engineering	180	1995	YES	aug 2015
1317	EE	Electrical and Electronics Engineering	120	1996	YES	aug 2015
1317	EC	Electronics and Communication	180	1994	YES	jun 2014
1317	EI	Electronics and Instrumentation engineering	180	1999	YES	jun 2014
1317	IT	Information Technology	120	1997	YES	jun 2014
1317	IC	Instumentation and Control Engg	60	1994	YES	aug 2018
1317	ME	Mechanical Engineering	180	1998	YES	aug 2018
1318	CE	Civil Engineering	120	2012	No	-
1318	CS	Computer science and engineering	120	2001	No	-
1318	EE	Electrical and Electronics Engineering	120	2003	No	-
1318	EC	Electronics and Communication	120	2001	No	-
1318	IT	Information Technology	60	2001	No	-
1318	ME	Mechanical Engineering	120	2002	No	-
1319	CE	Civil Engineering	120	2012	No	-
1319	CS	Computer science and engineering	120	1995	No	-
1319	EE	Electrical and Electronics Engineering	60	1995	No	-
1319	EC	Electronics and Communication	120	1995	No	-
1319	EI	Electronics and Instrumentation engineering	60	2000	No	-
1319	IT	Information Technology	60	1999	No	-
1319	ME	Mechanical Engineering	120	1995	No	-
1320	CE	Civil Engineering	120	2011	No	-
1320	CS	Computer science and engineering	120	2002	No	-
1320	EE	Electrical and Electronics Engineering	60	2002	No	-
1320	EC	Electronics and Communication	120	2002	No	-
1320	IT	Information Technology	120	2005	No	-
1320	ME	Mechanical Engineering	120	2012	No	-
1321	MN	Manufacturing Engineering	60	201	No	-
1321	PA	Plastic Technology	60	2008	No	-
1322	AE	Aeronautical Engineering	60	2006	No	-
1322	CE	Civil Engineering	120	2012	No	-
1322	CS	Computer science and engineering	120	2001	No	-
1322	EE	Electrical and Electronics Engineering	60	2004	No	-
1322	EC	Electronics and Communication	120	2001	No	-
1322	IT	Information Technology	60	2001	No	-
